unix = 1717803185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 139722
unix = 1717803305, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 140525
unix = 1717803425, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 141328
unix = 1717803545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 141954
unix = 1717803665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 142467
unix = 1717803785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 142995
unix = 1717803905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 143737
unix = 1717804025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 144540
unix = 1717804145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 145343
unix = 1717804265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 146146
unix = 1717804385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 146826
unix = 1717804505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 147312
unix = 1717804625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 147807
unix = 1717804745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 148555
unix = 1717804865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 149358
unix = 1717804985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 150336
unix = 1717805105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 151647
unix = 1717805225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 152723
unix = 1717805345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 153945
unix = 1717805465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 154979
unix = 1717805585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 156178
unix = 1717805705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 157375
unix = 1717805825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 158386
unix = 1717805945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 159590
unix = 1717806065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 160600
unix = 1717806185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 161769
unix = 1717806305, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 162960
unix = 1717806425, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 163957
unix = 1717806545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 165143
unix = 1717806665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 166221
unix = 1717806785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 167291
unix = 1717806905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 168473
unix = 1717807025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 169433
unix = 1717807145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 170584
unix = 1717807265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 171734
unix = 1717807385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 172655
unix = 1717807505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 173801
unix = 1717807625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 174969
unix = 1717807745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 175857
unix = 1717807865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 176969
unix = 1717807985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 178113
unix = 1717808105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 179069
unix = 1717808225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 180125
unix = 1717808345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 181244
unix = 1717808465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 182281
unix = 1717808585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 183268
unix = 1717808705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 184377
unix = 1717808825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 185480
unix = 1717808945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 186342
unix = 1717809065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 187448
unix = 1717809185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 188571
